Word Frequencies:
scotches: 2
backs: 42
snatch: 22
hares: 8
maul: 4
runner: 2
tenfold: 4
gests: 2
spill: 12
escaped: 14
doughtyhanded: 2
hectors: 52
clip: 20
feats: 28
joyful: 64
congealment: 2
gashes: 12
fairy: 98
chain: 130
attire: 24
harness: 12
pants: 8
triumphing: 8
comst: 50
snare: 30
uncaught: 4
nightingale: 22
girl: 120
nourishes: 2
goal: 8
favouring: 4
mankind: 40
destroyed: 14
carbuncled: 2
hacked: 14
targets: 6
capacity: 22
sup: 40
carouses: 6
periltrumpeters: 2
brazen: 22
din: 20
blast: 32
citys: 22
rattling: 10
tabourines: 2
applauding: 4
sentry: 12
relieved: 10
shiny: 2
embattle: 2
tos: 14
hateful: 92
poisonous: 24
disponge: 2
flint: 54
hardness: 12
powder: 18
finish: 20
infamous: 4
masterleaver: 2
swoons: 12
raught: 10
demurely: 4
sleepers: 10
recover: 56
hills: 34
adjoining: 14
usorder: 2
haven: 38
appointment: 24
endeavour: 34
taket: 22
galleys: 12
vales: 2
joined: 30
yond: 80
swallows: 12
nests: 6
grimly: 4
dejected: 12
fretted: 10
caps: 34
carouse: 4
tripleturned: 2
novice: 6
revenged: 66
charm: 70
uprise: 4
spanieled: 2
discandy: 2
blossoming: 4
barked: 2
overtopped: 2
becked: 2
crownet: 2
gypsy: 6
loose: 98
spell: 20
avaunt: 34
enraged: 26
vanish: 22
blemish: 18
hoist: 14
shouting: 10
plebeians: 48
chariot: 20
monsterlike: 2
poorst: 4
diminutives: 4
dolts: 4
plough: 12
fellst: 2
manyeros: 2
shirt: 30
alcides: 16
ancestor: 10
lichas: 4
grasped: 8
heaviest: 14
club: 18
subdue: 22
forteros: 2
telamon: 2
boar: 70
thessaly: 4
lock: 42
rive: 12
piteously: 4
deathto: 2
beholdst: 6
dragonish: 2
vapour: 20
towered: 2
pendant: 8
forked: 14
blue: 58
vespers: 2
pageants: 12
dislimns: 2
indistinct: 4
visible: 10
untot: 2
lostshe: 2
packed: 4
cards: 6
falseplayed: 2
discharged: 28
tearing: 14
rendered: 10
unarm: 14
sleepthat: 2
departst: 2
sevenfold: 4
ajax: 258
continent: 26
crack: 64
frail: 38
bruised: 14
torch: 60
stray: 24
entangles: 2
erosi: 2
queenerosstay: 2
ghosts: 36
dido: 24
aeneas: 162
haunt: 34
ourscome: 2
detest: 20
baseness: 34
quartered: 10
neptunes: 24
cities: 32
exigent: 6
inevitable: 8
prosecution: 2
horror: 32
strikst: 4
defeatst: 2
darts: 20
windowed: 2
pleached: 4
corrigible: 4
penetrative: 2
wheeled: 4
branded: 8
ensued: 4
seet: 32
useful: 4
sworst: 6
precedent: 42
unpurposed: 2
turning: 58
bridegroom: 26
intot: 10
scholar: 36
begun: 66
diomed: 68
sufficing: 2
prophesying: 4
foundyou: 2
purged: 6
emperors: 40
bides: 8
lightly: 22
events: 28
proportioned: 4
darkling: 6
oerthrown: 12
triumphed: 6
imperious: 30
fullfortuned: 2
brooched: 2
sting: 60
conclusion: 58
demuring: 2
womenwe: 2
heaviness: 34
junos: 12
strongwinged: 2
mercury: 28
wishers: 4
wheel: 42
provoked: 24
resolution: 62
miserable: 72
lament: 52
basely: 26
cowardly: 34
helmet: 12
valiantly: 10
vanquished: 22
sty: 10
meltmy: 2
withered: 34
garland: 66
pole: 42
remarkable: 4
visiting: 10
milks: 4
meanest: 30
chares: 2
sottish: 2
sirs: 86
briefest: 2
frustrate: 12
mocks: 42
pauses: 2
haters: 2
pleasest: 4
dens: 4
hired: 14
splitted: 8
persisted: 2
taints: 10
rarer: 8
steer: 8
humanity: 22
mirrors: 6
lance: 196
diseases: 44
bodies: 98
declining: 12
mate: 28
kindle: 22
unreconciliable: 2
equalness: 2
meeter: 4
preparedly: 2
ungentle: 24
speediest: 6
employed: 36
calm: 72
proceeded: 26
writings: 4
desolation: 22
paltry: 22
shackles: 14
bolts: 10
palates: 10
dung: 2
beggars: 72
study: 122
meanst: 24
princely: 164
flows: 18
dependency: 6
obedience: 104
caused: 20
surprised: 34
drawing: 30
disarms: 4
rids: 4
dogs: 104
languish: 14
acted: 14
pinioned: 6
chastised: 6
varletry: 2
censuring: 2
starknaked: 2
waterflies: 4
abhorring: 4
countrys: 90
pyramides: 2
gibbet: 6
chains: 24
assuredly: 8
dreamt: 38
lighted: 22
bestrid: 12
reared: 4
crested: 2
propertied: 6
tuned: 4
quail: 8
orb: 20
reaping: 2
dolphinlike: 2
element: 24
walked: 24
crownets: 4
realms: 14
islands: 10
plates: 2
dropped: 16
stuff: 104
vie: 12
forms: 52
imagine: 52
condemning: 4
answering: 20
pursued: 22
rebound: 2
smites: 4
kneels: 70
extenuate: 12
apply: 32
cruelty: 46
bereave: 10
destruction: 56
thereon: 16
scutcheons: 2
plate: 22
exactly: 12
valued: 18
treasurer: 2
purchase: 72
soulless: 2
wounding: 20
vouchsafing: 2
visit: 124
lordliness: 2
meek: 16
immoment: 2
toys: 32
livia: 4
induce: 10
mediation: 4
unfolded: 8
cinders: 10
misthought: 2
acknowledged: 6
roll: 18
merchants: 30
prisons: 10
dispose: 48
provided: 70
intends: 34
performed: 40
puppet: 16
slaves: 78
greasy: 20
aprons: 10
rules: 18
hammers: 6
uplift: 4
breaths: 18
enclouded: 2
lictors: 6
scald: 16
comedians: 2
extemporally: 4
revels: 40
drunken: 46
squeaking: 2
posture: 10
absurd: 8
attires: 6
chare: 2
doomsday: 22
wherefores: 2
guardsman: 12
rural: 4
resolutions: 2
marbleconstant: 2
planet: 18
basket: 60
avoid: 76
worm: 66
biting: 20
rememberst: 2
yesterdaya: 2
honestyhow: 2
falliable: 2
trusted: 22
heeded: 2
whoreson: 80
longings: 2
juice: 16
rouse: 64
lifeso: 2
warmth: 12
aspic: 4
vanishest: 4
leavetaking: 10
curled: 12
havecome: 2
asp: 6
applies: 6
intrinsicate: 2
untie: 12
venomous: 10
unpolicied: 2
eastern: 14
baby: 34
sucks: 10
balm: 34
antonynay: 2
unparalleled: 4
downy: 8
awry: 14
rustling: 6
softly: 50
fitting: 20
princess: 360
descended: 28
dreaded: 12
soughtst: 2
augurer: 4
levelled: 4
bleed: 82
trimming: 4
diadem: 26
tremblingly: 2
swelling: 46
aspics: 4
trail: 14
fig: 12
caves: 20
conclusions: 14
funeral: 52
solemnity: 28
orchard: 56
olivers: 12
lawn: 18
forest: 224
arden: 30
cottage: 24
orlando: 336
youngest: 54
rowland: 20
oliver: 112
adam: 76
dennis: 12
rosalind: 560
senior: 86
celia: 254
frederick: 70
touchstone: 180
ferdinand: 114
exile: 54
amiens: 36
usurper: 16
dominions: 14
charles: 248
wrestler: 14
beau: 44
corin: 70
shepherd: 224
phoebe: 104
shepherdess: 16
audrey: 66
martext: 16
vicar: 10
representing: 2
hymen: 26
belonging: 18
pages: 48
foresters: 8
usurpers: 10
school: 54
goldenly: 2
rustically: 2
properly: 12
unkept: 2
differs: 8
stalling: 2
ox: 22
riders: 6
animals: 10
dunghills: 4
plentifully: 6
hinds: 14
mines: 28
gentility: 4
grieves: 48
servitude: 8
hogs: 4
husks: 10
prodigal: 48
portion: 16
nations: 22
allows: 8
tradition: 6
albeit: 32
nearer: 44
reverence: 90
begot: 52
villains: 110
pulled: 12
railed: 12
accord: 18
trained: 12
peasant: 46
obscuring: 2
gentlemanlike: 10
exercises: 10
allottery: 2
rankness: 6
holla: 30
importunes: 8
access: 66
wrestling: 22
banished: 198
voluntary: 24
lands: 120
cradles: 8
robin: 78
hood: 14
england: 522
flock: 40
carelessly: 10
secretly: 24
disguised: 68
escapes: 10
limb: 34
acquit: 20
foil: 28
intendment: 6
brook: 172
underhand: 4
laboured: 30
resolute: 24
stubbornest: 2
envious: 76
emulator: 2
villainous: 44
contriver: 8
entrap: 8
treacherous: 56
device: 96
taen: 192
indirect: 18
brotherly: 6
anatomize: 6
payment: 30
soulyet: 2
whyhates: 2
schooled: 4
enchantingly: 2
misprized: 4
coz: 88
merrier: 14
extraordinary: 10
righteously: 2
tempered: 6
rejoice: 52
monster: 138
seewhat: 2
earnest: 80
benefits: 14
illfavouredly: 8
lineaments: 14
flout: 42
cutteroff: 2
peradventure: 30
perceiveth: 2
whetstone: 8
witshow: 2
pancakes: 4
mustard: 18
heap: 22
unmuzzle: 2
chins: 8
beards: 28
knavery: 34
pancackes: 2
taxation: 10
wisely: 64
foolishly: 10
silenced: 8
pigeons: 26
newscrammed: 2
marketable: 4
bonjour: 6
destinies: 14
trowel: 2
losest: 6
amaze: 22
beginning: 44
bills: 32
necks: 24
wrestled: 8
ribs: 34
beholders: 10
weeping: 136
longs: 34
dotes: 18
ribbreaking: 2
appointed: 68
forwardness: 10
successfully: 6
crept: 34
challengers: 4
steps: 66
challenger: 10
challenged: 16
adventure: 50
killed: 130
supplied: 18
desirous: 12
working: 48
persuaded: 44
mocked: 42
rowlands: 10
calling: 36
adopted: 12
entreaties: 22
ventured: 14
heartsir: 2
meone: 2
suits: 68
ayfare: 2
quintain: 2
lifeless: 12
block: 38
woulddid: 2
overthrown: 22
youfare: 2
weights: 4
urged: 36
applause: 24
misconsters: 2
humorous: 24
judge: 186
smaller: 8
detained: 4
niece: 126
bounden: 4
curs: 28
cousins: 66
lamed: 4
childs: 10
workingday: 4
burs: 8
holiday: 26
trodden: 14
paths: 10
petticoats: 4
coat: 68
hem: 20
ensue: 30
dolook: 2
frantic: 30
notthen: 2
unborn: 20
purgation: 12
mistrust: 38
likelihood: 28
dukedom: 52
inherited: 6
remorse: 60
value: 58
ate: 8
swans: 6
coupled: 14
inseparable: 4
subtle: 72
smoothness: 6
irrevocable: 6
pronounce: 60
outstay: 2
teacheth: 6
sundered: 4
provoketh: 2
umber: 2
smirch: 2
assailants: 2
curtalaxe: 2
thigh: 24
boarspear: 4
swashing: 2
martial: 22
outside: 32
mannish: 6
outface: 12
semblances: 4
ganymede: 20
aliena: 16
assayed: 4
clownish: 4
fittest: 8
banishment: 82
comates: 2
penalty: 24
icy: 12
fang: 30
churlish: 38
bites: 22
shrink: 22
counsellors: 14
feelingly: 14
adversity: 16
toad: 34
exempt: 22
books: 78
brooks: 18
sermons: 2
stubbornness: 6
venison: 14
irks: 6
dappled: 2
burghers: 4
confines: 20
haunches: 2
usurp: 42
oak: 54
peeps: 6
brawls: 12
sequestered: 4
hunters: 14
animal: 6
heaved: 10
discharge: 68
leathern: 10
bursting: 2
coursed: 2
piteous: 52
hairy: 12
marked: 36
extremest: 20
verge: 16
augmenting: 6
moralize: 10
spectacle: 22
needless: 22
worldlings: 4
abandoned: 8
flux: 4
jumps: 10
invectively: 2
pierceth: 2
fright: 72
dwellingplace: 2
contemplation: 26
commenting: 4
sobbing: 4
cope: 24
untreasured: 2
roynish: 2
also: 82
missing: 14
hesperia: 2
confesses: 6
oerheard: 6
believes: 8
inquisition: 4
runaways: 8
overcome: 24
bonny: 18
prizer: 4
swiftly: 16
comely: 16
envenoms: 2
brotherno: 2
lodging: 52
overheard: 14
butchery: 6
boisterous: 20
road: 44
thrifty: 10
hire: 36
fosternurse: 2
unregarded: 2
corners: 18
ravens: 26
providently: 2
caters: 2
sparrow: 14
rebellious: 22
liquors: 4
unbashful: 2
debility: 2
frosty: 18
meed: 38
promotion: 10
choke: 34
prunst: 2
tree: 122
blossom: 24
lieu: 20
wages: 24
gasp: 16
fourscore: 28
doublet: 50
travellers: 16
actions: 64
ridiculous: 32
fantasy: 30
remembrest: 6
slightest: 6
hearer: 10
abruptly: 2
searching: 12
anight: 2
jane: 4
batlet: 2
cows: 2
dugs: 8
chopped: 4
milked: 4
peascod: 8
instead: 34
cods: 4
capers: 6
ware: 16
shins: 8
shepherds: 66
betters: 24
saygood: 2
succour: 30
shear: 4
fleeces: 2
graze: 16
recks: 4
hospitality: 4
cote: 4
flocks: 14
bounds: 48
sale: 20
sheepcote: 6
swain: 46
erewhile: 8
buying: 2
faithful: 72
feeder: 12
greenwood: 2
weather: 68
suck: 48
weasel: 12
eggs: 16
stanzo: 2
stanzos: 2
dogapes: 2
renders: 8
beggarly: 20
songsirs: 2
disputable: 2
warble: 6
yesterday: 48
stubborn: 50
ducdame: 8
greek: 68
invocation: 8
uncouth: 6
mocker: 8
cheerly: 26
liest: 94
shelter: 30
outlaws: 18
transformed: 24
nowhere: 8
compact: 34
jars: 16
musical: 16
basked: 2
poke: 2
lacklustre: 2
wags: 6
ago: 60
eleven: 52
lungs: 40
chanticleer: 4
deepcontemplative: 2
sans: 32
intermission: 8
motleys: 2
foolone: 2
biscuit: 4
voyage: 46
crammed: 12
observation: 20
vents: 6
galled: 26
parish: 24
church: 136
hit: 124
smart: 18
bob: 6
squandering: 2
glances: 6
invest: 18
cleanse: 4
infected: 44
patiently: 42
counter: 10
mischievous: 4
brutish: 12
sores: 18
headed: 2
disgorge: 6
ebb: 30
citywoman: 2
bravery: 16
taxing: 4
wildgoose: 6
unclaimed: 2
cock: 58
boldened: 4
despiser: 2
civility: 12
seemst: 16
vein: 32
thorny: 16
inland: 10
nurture: 4
gentleness: 36
commandment: 30
inaccessible: 4
creeping: 20
bells: 38
knolled: 4
wiped: 26
engendered: 2
ministered: 2
doe: 22
limped: 2
bit: 16
theatre: 12
players: 64
exits: 20
entrances: 2
seven: 144
infant: 48
mewling: 2
puking: 2
nurses: 14
whining: 8
schoolboy: 10
satchel: 2
shining: 36
snail: 16
unwillingly: 12
sighing: 22
furnace: 8
eyebrow: 2
bearded: 8
pard: 8
cannons: 14
belly: 76
capon: 16
lined: 14
severe: 18
saws: 8
instances: 14
slippered: 2
pantaloon: 4
spectacles: 16
pouch: 4
shrunk: 18
shank: 2
childish: 22
treble: 26
pipes: 14
whistles: 6
eventful: 2
venerable: 8
heighho: 24
holly: 8
feigning: 12
freeze: 22
nigh: 38
warp: 8
whispered: 6
effigies: 2
limned: 2
residue: 2
cave: 98
megood: 2
support: 36
candle: 32
twelvemonth: 26
territory: 4
seizure: 8
push: 50
extent: 12
expediently: 2
thricecrowned: 2
huntress: 4
witnessed: 2
unexpressive: 2
solitary: 6
plenty: 32
philosophy: 28
sheep: 86
kindred: 58
philosopher: 22
illroasted: 2
sawst: 20
damnation: 28
parlous: 8
mockable: 2
salute: 36
uncleanly: 10
handling: 10
ewes: 22
fells: 2
grease: 14
mutton: 22
wholesome: 66
sounder: 6
tarred: 2
surgery: 10
tar: 6
civet: 8
perpend: 10
incision: 12
raw: 30
labourer: 2
rams: 14
copulation: 4
cattle: 10
bawd: 220
bellwether: 4
shelamb: 2
crookedpated: 2
cuckoldly: 8
reasonable: 38
mistresss: 8
western: 20
inde: 2
dinners: 8
suppers: 2
excepted: 12
butterwomens: 2
market: 32
hart: 20
slender: 216
sheaf: 4
cart: 12
rind: 4
gallop: 12
infect: 42
yields: 36
graft: 8
medlar: 12
earliest: 6
unpeopled: 8
sayings: 10
erring: 10
streching: 2
span: 8
violated: 4
rosalinda: 2
teaching: 30
quintessence: 4
sprite: 16
wideenlarged: 2
atalantas: 4
lucretias: 4
homily: 2
wearied: 12
parishioners: 4
bag: 20
baggage: 18
scrip: 4
scrippage: 2
lamely: 8
wondering: 8
palmtree: 2
berhymed: 2
pythagoras: 8
irish: 20
rat: 20
trow: 28
mountains: 50
earthquakes: 2
petitionary: 4
vehemence: 2
whooping: 2
caparisoned: 4
south: 50
stammer: 2
narrowmouthed: 2
bottleeither: 2
cork: 4
chin: 58
tripped: 4
wrestlers: 2
mocking: 36
gargantuas: 2
catechism: 4
freshly: 16
atomies: 6
resolve: 66
propositions: 2
relish: 40
acorn: 8
curvets: 4
unseasonably: 4
hunter: 18
ominous: 20
bringst: 12
slink: 6
wi: 30
writing: 54
christened: 2
stature: 10
goldsmiths: 4
conned: 6
cloth: 26
cipher: 12
signior: 270
jaquescelia: 2
forester: 24
groaning: 20
detect: 10
lazy: 24
divers: 40
ambles: 8
trots: 8
gallops: 12
trot: 22
solemnized: 8
sennight: 2
latin: 24
gout: 16
gallows: 42
lawyers: 16
vacation: 2
skirts: 12
fringe: 2
coney: 2
kindled: 16
accent: 34
finer: 10
dwelling: 26
courtship: 16
lectures: 8
giddy: 60
taxed: 2
halfpence: 6
recount: 26
haunts: 18
carving: 4
odes: 2
hawthorns: 2
elegies: 4
brambles: 4
deifying: 2
fancymonger: 2
quotidian: 4
loveshaked: 2
uncles: 38
marks: 82
cage: 14
rushes: 38
unquestionable: 2
notbut: 2
ungartered: 4
bonnet: 18
unbanded: 2
sleeve: 40
unbuttoned: 2
shoe: 30
untied: 4
demonstrating: 2
pointdevice: 4
accoutrements: 4
apter: 6
consciences: 12
rhymes: 20
madmen: 20
punished: 22
lunacy: 10
whippers: 2
curing: 4
moonish: 2
effeminate: 14
changeable: 8
fantastical: 32
apish: 8
smiles: 96
loathe: 10
forswear: 56
spit: 54
suitor: 54
nook: 4
monastic: 2
sheeps: 10
observing: 12
goats: 18
features: 6
capricious: 2
ovid: 4
goths: 72
illinhabited: 2
thatched: 2
seconded: 6
understanding: 38
poetical: 8
poetry: 20
feign: 20
swearst: 12
hardfavoured: 10
sugar: 28
material: 10
slut: 4
foulness: 10
sluttishness: 2
village: 12
couple: 36
stagger: 6
temple: 86
assembly: 30
hornbeasts: 2
goods: 50
dowry: 52
walled: 6
town: 262
bachelor: 40
chapel: 20
whatyecallt: 2
ild: 8
toy: 38
covered: 18
curb: 30
falcon: 18
bill: 36
wedlock: 24
nibbling: 6
bush: 58
wainscot: 2
panel: 2
timber: 4
bawdry: 6
begone: 22
wedding: 52
browner: 6
judass: 4
chestnut: 6
sanctity: 14
bread: 52
nun: 16
sisterhood: 10
religiously: 14
pickpurse: 6
horsestealer: 2
concave: 6
goblet: 4
wormeaten: 6
downright: 26
tapster: 28
confirmer: 2
reckonings: 10
parentage: 32
breaks: 72
traverse: 8
athwart: 14
puny: 14
tilter: 4
goose: 56
enquired: 8
complained: 4
sitting: 60
turf: 12
pageant: 20
feedeth: 4
executioner: 34
accustomed: 8
axe: 42
sterner: 4
injure: 2
frailst: 2
softest: 6
butchers: 22
murderers: 60
swoon: 30
pin: 36
impressure: 6
darted: 8
everas: 2
arrows: 26
advancing: 8
insult: 8
exult: 4
pitiless: 8
salework: 2
ods: 16
tangle: 8
inky: 6
silk: 44
bugle: 4
eyeballs: 18
cream: 10
entame: 2
foggy: 8
puffing: 4
properer: 6
illfavoured: 14
knees: 124
fasting: 26
markets: 6
scoffer: 2
frowning: 34
falser: 8
tuft: 6
ply: 12
extermined: 2
neighbourly: 4
covetousness: 8
irksome: 6
plenteous: 22
glean: 8
reaps: 2
carlot: 2
boyyet: 2
youthnot: 2
heal: 26
soso: 10
redness: 2
damask: 14
omittance: 2
quittance: 12
taunting: 2
passing: 78
abominable: 32
censure: 60
drunkards: 14
scholars: 14
emulation: 22
musicians: 62
simples: 10
extracted: 2
sundry: 14
rumination: 4
wraps: 2
sadand: 2
blank: 24
lisp: 6
disable: 4
swam: 6
gondola: 4
shoulder: 58
heartwhole: 2
tardy: 24
heada: 2
jointure: 10
beholding: 60
prevents: 6
hornmaker: 2
leer: 10
gravelled: 2
orators: 10
lackinggod: 2
warn: 10
usmatter: 2
cleanliest: 2
ranker: 6
talking: 50
videlicet: 8
lovecause: 2
dashed: 4
patterns: 6
leander: 8
hero: 234
hellespont: 8
chroniclers: 2
sestos: 2
eaten: 38
comingon: 2
fridays: 4
saturdays: 2
thingcome: 2
usgive: 2
orlandowhat: 2
towill: 2
december: 12
barbary: 26
cockpigeon: 2
clamorous: 24
parrot: 12
ape: 42
monkey: 14
fountain: 34
hyena: 2
inclined: 24
waywarder: 2
keyhole: 2
chimney: 14
neighbours: 56
flattering: 42
pathetical: 6
breakpromise: 2
hollow: 102
chosen: 40
unfaithful: 2
examines: 2
misused: 8
loveprate: 2
portugal: 2
bottomless: 6
spleen: 58
everyones: 2
deers: 4
leather: 20
crest: 50
waspish: 6
tenor: 18
guiltless: 50
startle: 6
swaggerer: 6
hare: 38
hunt: 72
freestonecoloured: 2
verily: 28
gloves: 36
huswifes: 2
handbut: 2
defies: 2
giantrude: 2
ethiop: 2
blacker: 10
phoebes: 4
railing: 16
godhead: 6
warrst: 4
vengeance: 112
mild: 82
pitywilt: 2
snake: 22
purlieus: 2
fenced: 2
osiers: 6
bestows: 10
napkin: 30
handkerchief: 66
pacing: 2
chewing: 2
befell: 6
mossed: 4
bald: 34
oergrown: 8
wreathed: 6
approached: 4
unlinked: 2
indented: 2
glides: 8
bushs: 2
lioness: 14
udders: 2
couching: 6
catlike: 2
unnatural: 78
sucked: 6
hurtling: 2
rescued: 20
contrive: 18
conversion: 4
tastes: 10
recountments: 2
bathed: 8
committing: 8
bled: 6
fainting: 18
cousinganymede: 2
counterfeited: 10
paler: 8
homewards: 2
counterfeiting: 8
gentlemans: 8
claim: 130
flouting: 6
fiveandtwenty: 16
heathen: 10
poured: 4
filling: 18
ipse: 4
abandonwhich: 2
leavethe: 2
societywhich: 2
boorish: 2
companyof: 2
femalewhich: 2
abandon: 6
perishest: 2
bastinado: 6
bandy: 14
oerrun: 10
tremble: 78
trip: 28
giddiness: 2
claws: 8
wonders: 34
thrasonical: 4
overcame: 18
stairs: 12
climb: 46
incontinent: 12
clubs: 20
nuptial: 42
heartheaviness: 2
thenfor: 2
purposethat: 2
insomuch: 2
conversed: 8
magician: 10
gesture: 16
straits: 2
inconvenient: 2
human: 58
ungentleness: 2
adoration: 4
howling: 26
wolves: 38
couldtomorrow: 2
meetand: 2
dishonest: 22
roundly: 20
spitting: 2
hoarse: 12
ifaith: 26
gipsies: 2
hey: 62
nonino: 8
cornfield: 2
springtime: 16
ding: 26
acres: 8
rye: 4
folks: 24
carol: 4
ditty: 14
untuneable: 4
bargain: 40
doubts: 30
forestborn: 2
tutored: 8
rudiments: 6
studies: 26
obscured: 14
flood: 110
couples: 10
ark: 2
motleyminded: 2
trod: 28
quarrels: 42
seventh: 18
causegood: 2
copulatives: 2
according: 92
binds: 8
sententious: 6
bolt: 22
removedbear: 2
audreyas: 2
retort: 10
quip: 4
countercheck: 6
quarrelsome: 6
circumstantial: 6
nominate: 6
circumstance: 74
peacemaker: 2
stalkinghorse: 2
presentation: 4
hymens: 8
questioning: 2
diminish: 4
peoples: 50
degree: 94
combine: 14
resorted: 2
addressed: 8
purposely: 8
bequeathing: 6
exiled: 10
engage: 10
offerst: 6
withheld: 8
newfalln: 6
rustic: 6
revelry: 2
brides: 4
bridegrooms: 12
heaped: 10
pompous: 6
convertites: 2
allies: 12
welldeserved: 2
victualledso: 2
rites: 44
unhandsome: 8
prologue: 86
bushes: 12
epilogues: 2
insinuate: 12
conjure: 56
womenas: 2
simpering: 4
themthat: 4
complexions: 14
liked: 12
defied: 8
curtsy: 44
hall: 120
solinus: 4
ephesus: 368
egeon: 54
syracuse: 454
antipholus: 436
twin: 16
emilia: 486
dromio: 444
antipholuses: 2
balthasar: 94
angelo: 420
goldsmith: 22
conjurer: 16
abbess: 52
adriana: 178
luciana: 110
luce: 26
courtesan: 30
jailer: 174
procure: 36
syracusa: 10
partial: 16
infringe: 10
sprung: 24
rancorous: 10
outrage: 28
welldealing: 2
countrymen: 88
guilders: 4
seald: 42
rigorous: 6
statutes: 22
excludes: 2
intestine: 4
seditious: 4
synods: 2
decreed: 18
syracusians: 2
towns: 64
syracusian: 14
marts: 2
fairs: 10
confiscate: 12
levied: 26
amount: 14
condemnd: 26
likewise: 54
departedst: 2
heavier: 30
imposd: 2
unspeakable: 10
increasd: 2
voyages: 4
epidamnum: 14
embracements: 16
spouse: 10
provision: 20
arrived: 22
distinguishd: 4
inn: 54
male: 28
meanly: 8
unwilling: 22
saild: 4
alwayswindobeying: 2
tragic: 18
retain: 16
doubtful: 52
embracd: 10
incessant: 10
weepings: 2
plainings: 2
forcd: 28
delays: 20
sailors: 46
sinkingripe: 2
latterborn: 2
fastned: 6
mast: 20
seafaring: 2
heedful: 14
disposd: 20
fixing: 6
floating: 4
corinth: 14
dispersd: 6
vapours: 22
waxd: 2
amain: 30
epidaurus: 2
cameo: 2
sequel: 20
termd: 4
merciless: 16
leagues: 24
violently: 12
helpful: 8
burdened: 6
fishermen: 16
seizd: 16
shipwrackd: 2
guests: 46
reft: 12
fishers: 4
homeward: 12
misfortunes: 10
prolongd: 6
stories: 18
mishaps: 6
sorrowest: 2
dilate: 4
befalln: 16
eighteen: 14
inquisitive: 4
importund: 12
retaind: 2
greece: 44
roaming: 6
coasting: 4
hopeless: 20
unsought: 6
harbours: 6
timely: 10
hapless: 16
fates: 32
markd: 30
dire: 40
mishap: 4
disannul: 2
adjudged: 10
recalld: 4
disparagement: 4
beneficial: 8
doomd: 8
custody: 6
helpless: 14
wend: 6
procrastinate: 2
apprehended: 18
arrival: 14
centaur: 14
dinnertime: 14
traders: 8
buildings: 12
lightens: 14
dine: 50
mart: 32
consort: 26
bedtime: 6
commends: 40
failing: 14
almanac: 4
returnd: 58
approachd: 4
pig: 16
strucken: 16
sixpence: 24
wednesday: 28
saddler: 4
crupper: 6
dally: 24
maw: 14
foolishness: 2
bestowd: 26
sconce: 14
undisposd: 2
oerraught: 4
cozenage: 6
jugglers: 2
darkworking: 2
sorcerers: 6
soulkilling: 2
witches: 24
deform: 2
cheaters: 4
prating: 24
mountebanks: 4
suchlike: 10
liberties: 14
somewhere: 6
fret: 32
bridle: 12
asses: 18
bridled: 4
headstrong: 20
lashd: 2
situate: 4
fowls: 8
males: 4
controls: 4
watry: 16
indued: 6
intellectual: 8
preeminence: 4
females: 8
accords: 6
unwed: 4
troubles: 32
marriagebed: 6
unmovd: 2
pause: 86
bruisd: 6
burdned: 2
urging: 20
foolbeggd: 2
doubtfully: 8
plainly: 44
hornmad: 10
cuckoldmad: 2
stark: 20
desird: 22
burnd: 12
beating: 48
football: 4
loureth: 2
minions: 10
starve: 36
alluring: 2
discourses: 10
voluble: 10
blunts: 4
vestments: 4
ruins: 18
ruind: 10
defeatures: 4
sunny: 6
unruly: 32
selfharming: 2
unfeeling: 8
otherwhere: 4
enamelled: 4
touching: 56
corruption: 36
wanderd: 4
computation: 4
hosts: 6
alterd: 14
madly: 32
golds: 4
toldst: 12
feltst: 2
displeasd: 6
jeer: 2
familiarly: 8
chat: 28
crannies: 4
demeanour: 8
battering: 4
basting: 4
choleric: 20
periwig: 4
plentiful: 8
excrement: 10
conclude: 58
dealers: 2
plainer: 8
dealer: 2
loseth: 6
falsing: 2
tiring: 8
namely: 12
substantial: 8
wafts: 4
aspects: 8
unurgd: 4
sweetsavourd: 2
carvd: 6
estranged: 4
undividable: 2
incorporate: 20
selfs: 6
gulf: 20
unmingled: 4
diminishing: 2
licentious: 8
contaminate: 4
staind: 18
harlot: 14
weddingring: 2
deepdivorcing: 2
possessd: 44
digest: 28
contagion: 14
truce: 30
distaind: 2
undishonoured: 2
scannd: 6
converse: 46
drift: 38
inspiration: 6
agrees: 16
abetting: 2
thwart: 6
fasten: 8
elm: 6
ivy: 12
brier: 12
moss: 6
pruning: 4
intrusion: 8
uncertainty: 6
offerd: 32
fallacy: 2
beads: 20
sinner: 8
goblins: 10
owls: 8
sprites: 18
pratst: 6
answerst: 4
drone: 8
slug: 4
sot: 14
rides: 18
laughs: 18
shrive: 4
pranks: 20
dines: 4
porter: 88
welladvisd: 2
disguisd: 8
mist: 8
adventures: 8
shrewish: 2
lingerd: 2
chargd: 28
drunkard: 24
parchment: 16
handwriting: 2
kickd: 2
dainties: 8
dainty: 48
niggardly: 8
sparing: 12
cates: 8
maud: 2
bridget: 6
marian: 10
cicely: 6
gillian: 2
ginn: 2
mome: 2
malthorse: 4
idiot: 18
callst: 24
dined: 20
mickle: 14
companions: 40
proverbshall: 2
thatswhen: 2
luceluce: 2
ache: 28
debating: 12
thin: 48
cake: 8
buck: 22
ope: 62
wantst: 16
fin: 6
